xypos6665	the men that the lawyer meets do not recommend the scientist	0.196974545455 0.184805909091 -0.1624386 -0.0401177272727 0.474913636364 0.000771181818182 -0.293026545455 0.0359479090909 -0.0844703354545 -0.272371 0.0978351090909 0.187242727273 -0.355666636364 0.0880990909091 0.473648318182 0.194349445455 0.226546818182 -0.0558454272727 -0.179104454545 -0.364415727273 -0.0908111818182 0.258983636364 0.186778454545 0.0601490909091 0.0582263636364 -1.94340909091 -0.441510727273 -0.191708090909 -0.290962545455 -0.235488454545 2.91054 -0.141180545455 -0.672817272727 -0.478386363636 0.0862523990909 -0.207039845455 0.137740545455 0.119935272727 0.183170363636 -0.130179636364 -0.184166363636 0.167590090909 0.136813636364 0.236468909091 0.204397727273 -0.0626748454545 -0.178194390909 0.05110511 -0.0329437272727 0.113829563636
xypos5578	the students that were dancing are followed by the scientist	0.2341169 0.124524 -0.114187 -0.2276364 0.1969087 0.217232 -0.610558 -0.2701142 -0.328711046 -0.1361369 0.1894753 -0.106533 -0.251705 0.0239263 0.3427111 -0.06508041 0.051685 0.024193 -0.5396219 -0.3788909 0.1397898 0.2900424 0.366327 -0.034123 0.1405867 -1.44783 -0.4290165 -0.2094317 -0.3966492 -0.269446 3.276794 -0.026009 -0.175703 -0.6460956 0.082330426 0.05318758 0.123682 0.04945172 -0.0531497 0.180626 -0.310332 0.0884333 0.033338 0.15719942 0.2442764 -0.10098513 -0.22962902 -0.1712663 -0.2174487 -0.37341958
xypos454	the doctor that is not met by the professors danced	0.297033 0.151675 -0.24305886 -0.3344118 0.3506529 0.1362866 -0.46562361 -0.0125484 -0.354190046 -0.0997801 0.2106344 0.163914 -0.3279925 0.0669293 0.3579761 0.0871006 0.0345617 0.026041 -0.2240079 -0.2909656 0.0038608 0.3947914 0.2835996 0.009579 0.1595038 -1.6999654 -0.426726 -0.0822276 -0.4932692 -0.2537175 2.945964 -0.058833 -0.3399306 -0.511523 0.037035926 -0.07151152 0.1519361 0.1349832 0.1040403 0.0944553 -0.1903513 0.3235263 -0.148615 0.0493065 0.0705832 -0.0715911 -0.28871902 -0.1110913 -0.2359251 -0.12937228
xypos9209	the professors were followed by the scientist that does not dance	0.154943545455 0.0960230909091 -0.1258256 -0.163947181818 0.212196727273 0.218415454545 -0.530674181818 -0.175591181818 -0.33163186 -0.0251340909091 0.212414909091 0.0914518181818 -0.348978181818 0.0807912727273 0.388703981818 0.0600641727273 0.108914090909 -0.0488057545455 -0.424239 -0.341955363636 0.103703454545 0.278325818182 0.291827909091 -0.0654936363636 0.189932454545 -1.61859818182 -0.567264090909 -0.258515 -0.317366090909 -0.262760909091 3.11103090909 -0.188060909091 -0.283671272727 -0.618849272727 0.01600766 -0.0931867454545 0.152495454545 0.0882708181818 0.0674711818182 0.0921542727273 -0.208405181818 0.145780272727 -0.0167081818182 0.152084090909 0.151494818182 -0.0281406636364 -0.192207290909 -0.0327509090909 -0.246309636364 -0.122947527273
xypos3294	the women that were not being helped by the students are recommended by the lawyers	0.307452 -0.0716249333333 -0.00616482 -0.275137866667 0.221574886667 0.245042666667 -0.539696066667 -0.137346266667 -0.214181179333 -0.201687666667 0.164530266667 -0.00219426666667 -0.326858133333 -0.160880533333 0.429597433333 0.0619869333333 0.0169636666667 -0.186740733333 -0.277794866667 -0.493214666667 0.0936864666667 0.247097733333 0.407918 -0.0800462333333 -0.13944316 -1.67398933333 -0.338420466667 -0.292556933333 -0.369224666667 -0.260494666667 3.43722666667 0.072072 -0.232914666667 -0.705464666667 0.139585092667 -0.0389864866667 0.197642666667 0.07758808 -0.0970164 -0.023776 -0.309738466667 0.0402816666667 0.212488604667 0.319353933333 0.121009266667 -0.1231642 -0.490830886667 -0.0685108666667 -0.181218733333 -0.302555053333
xypos8673	the scientists were not helped by the lawyer that was not sleeping	0.491970666667 -0.129556916667 0.0144385666667 -0.208399 0.342491358333 0.252668333333 -0.656794166667 -0.0376623333333 -0.191547288333 -0.140846166667 0.243636833333 0.195904191667 -0.441882416667 -0.0653283333333 0.478790916667 0.229805666667 0.06985075 -0.1580535 -0.428646583333 -0.380204416667 0.00670516666667 0.357195166667 0.319004166667 -0.230984166667 0.0983515 -1.78018 -0.418040583333 -0.141523583333 -0.116604833333 -0.148011583333 3.16486666667 -0.16004 -0.323560833333 -0.6230325 0.112490355 -0.0723884333333 0.20698825 0.121608166667 0.16719925 0.0201180833333 -0.256131666667 0.160161 0.0772655833333 0.244854666667 0.117317083333 -0.0557241666667 -0.505128183333 -0.12440425 -0.0761893333333 -0.2319529
xypos4276	the professor did not follow the doctors that called the lawyer	0.304351181818 0.100179727273 -0.313866781818 -0.124322545455 0.304761727273 0.155308463636 -0.445823636364 0.00993045454545 -0.129584062727 -0.215904072727 0.179631545455 0.25368 -0.436842727273 -0.0224656363636 0.356408318182 0.228926272727 0.0451435454545 -0.204963636364 -0.161877272727 -0.205832363636 -0.0531048181818 0.279391 0.124800418182 -0.0347836363636 0.073774 -2.02247272727 -0.494154454545 -0.188413181818 -0.380282363636 -0.261103 3.12795454545 -0.22913 -0.530342090909 -0.613742727273 0.000258762727273 -0.235657754545 0.258645363636 0.0843216363636 0.341284 0.0867234545455 -0.192685909091 0.213540909091 -0.0888791818182 0.312019545455 0.119584090909 -0.0199204181818 -0.234344118182 0.103929 -0.0922147272727 0.122614109091
xypos1677	the doctors that followed the women are dancing	0.284972375 0.15898375 -0.371258125 -0.187025875 0.16344525 0.37066575 -0.402668875 -0.059559 -0.0428438075 -0.15444725 0.254354125 -0.25129 -0.224329 0.141892875 0.415450125 0.03866325 -0.03983375 -0.125722625 -0.359226625 -0.531426125 -0.05209775 0.327625 0.33767625 0.13919375 0.031179575 -1.4974625 -0.602859375 -0.12933725 -0.30756775 -0.388885 3.36915 0.40540875 -0.2476625 -0.41676075 0.0021742825 -0.001761275 0.21796375 0.08089115 -0.075010875 0.00843 -0.4181 0.000394125 0.12316625 0.35088565 0.339293375 -0.111252875 -0.188388775 -0.24227375 -0.271814625 -0.3180056
xypos4031	the man that is called by the doctors is being met by the student	0.408178857143 0.19048 -0.1791765 -0.172647 0.358307285714 0.279327571429 -0.536628728571 -0.129853571429 -0.129383620714 -0.144507192857 0.280327642857 0.101455714286 -0.374830857143 0.0263702857143 0.312542892857 0.093211 0.0250540714286 0.0534871428571 -0.317277142857 -0.0969920714286 -0.0978973571429 0.214740571429 0.176626642857 0.038645 0.0340602142857 -1.90991428571 -0.421935714286 0.0181573571429 -0.376750428571 -0.0902438571429 3.40267142857 -0.275823571429 -0.276438571429 -0.520208571429 0.0103840278571 -0.0511512357143 0.233495928571 0.0448336428571 0.0970352857143 -0.0122534285714 -0.186402785714 0.249199714286 -0.198861780714 0.0217862142857 0.0979504285714 -0.118782 -0.393253235714 -0.150935 -0.0174341428571 -0.137396057143
xypos3715	the professors are recommending the students that the women are calling	0.188765454545 0.157398363636 -0.107076363636 -0.408667090909 0.225608636364 0.103780818182 -0.315969181818 -0.259585919091 -0.210577335455 -0.230058363636 -0.0215307272727 -0.170052081818 -0.0418432727273 -0.0395181 0.319885590909 0.00555127272727 0.0591626363636 -0.0345564545455 -0.0522639090909 -0.510277272727 0.0289206363636 0.215937090909 0.369364545455 0.1497825 -0.0513578545455 -1.50111636364 -0.379861818182 -0.270046545455 -0.482242909091 -0.375553818182 3.26593272727 0.319301818182 -0.346595818182 -0.679724545455 0.0807042172727 -0.0739677545455 0.163057272727 0.00123158181818 -0.129429636364 0.0154755454545 -0.364778181818 -0.105013363636 0.232432727273 0.530858363636 0.1851 -0.0160998181818 -0.2660423 0.180002454545 -0.263640818182 -0.194383072727
